Institution Name,City,State,Website,Domain,Clearbit Logo URL
Velvatex College of Beauty Culture (VCBC),Little Rock,Arkansas (AR),https://www.velvatexcollege.com/,velvatexcollege.com,https://logo.clearbit.com/velvatexcollege.com
University of Arkansas-Fort Smith (UAS),Fort Smith,Arkansas (AR),https://uafs.edu/,uafs.edu,https://logo.clearbit.com/uafs.edu
Academy of Art University (AAU),San Francisco,California (CA),https://www.academyart.edu/,academyart.edu,https://logo.clearbit.com/academyart.edu
Academy of Chinese Culture and Health Sciences (ACCHS),Oakland,California (CA),https://www.acchs.edu/,acchs.edu,https://logo.clearbit.com/acchs.edu
College of Alameda (CA),Alameda,California (CA),https://alameda.edu/,alameda.edu,https://logo.clearbit.com/alameda.edu
Allan Hancock College (AHC),Santa Maria,California (CA),https://www.hancockcollege.edu/,hancockcollege.edu,https://logo.clearbit.com/hancockcollege.edu
American Academy of Dramatic Arts-Los Angeles (AADAA),Los Angeles,California (CA),https://www.aada.edu/,aada.edu,https://logo.clearbit.com/aada.edu
Berkeley School of Theology (BST),Berkeley,California (CA),https://www.bst.edu/,bst.edu,https://logo.clearbit.com/bst.edu
American Film Institute Conservatory (AFIC),Los Angeles,California (CA),https://www.afi.com/,afi.com,https://logo.clearbit.com/afi.com
American Beauty College (ABC),West Covina,California (CA),https://www.americanbeautycollege.edu/,americanbeautycollege.edu,https://logo.clearbit.com/americanbeautycollege.edu
American Career College-Los Angeles (ACCA),Los Angeles,California (CA),https://americancareercollege.edu/,americancareercollege.edu,https://logo.clearbit.com/americancareercollege.edu
American River College (ARC),Sacramento,California (CA),https://www.arc.losrios.edu/,arc.losrios.edu,https://logo.clearbit.com/arc.losrios.edu
Antelope Valley Community College District (AVCCD),Lancaster,California (CA),https://www.avc.edu/,avc.edu,https://logo.clearbit.com/avc.edu
Art Center College of Design (ACCD),Pasadena,California (CA),https://www.artcenter.edu/,artcenter.edu,https://logo.clearbit.com/artcenter.edu
Associated Technical College-Los Angeles (ATCA),Los Angeles,California (CA),https://www.atcla.edu/,atcla.edu,https://logo.clearbit.com/atcla.edu
Associated Technical College-San Diego (ATCD),San Diego,California (CA),https://www.atcsd.edu/,atcsd.edu,https://logo.clearbit.com/atcsd.edu
Azusa Pacific University (APU),Azusa,California (CA),https://www.apu.edu/,apu.edu,https://logo.clearbit.com/apu.edu
Bakersfield College (BC),Bakersfield,California (CA),https://www.bakersfieldcollege.edu/,bakersfieldcollege.edu,https://logo.clearbit.com/bakersfieldcollege.edu
Barstow Community College (BCC),Barstow,California (CA),https://www.barstow.edu/,barstow.edu,https://logo.clearbit.com/barstow.edu
Bellus Academy-Chula Vista (BAV),Chula Vista,California (CA),https://www.bellusacademy.edu/,bellusacademy.edu,https://logo.clearbit.com/bellusacademy.edu
Bethesda University (BU),Anaheim,California (CA),https://www.buc.edu/,buc.edu,https://logo.clearbit.com/buc.edu
Biola University (BU),La Mirada,California (CA),https://www.biola.edu/,biola.edu,https://logo.clearbit.com/biola.edu
Brownson Technical School (BTS),Anaheim,California (CA),https://brownson.edu/,brownson.edu,https://logo.clearbit.com/brownson.edu
Bryan University (BU),Tempe,Arizona (AZ),https://bryanuniversity.edu/,bryanuniversity.edu,https://logo.clearbit.com/bryanuniversity.edu
Butte College (BC),Oroville,California (CA),https://www.butte.edu/,butte.edu,https://logo.clearbit.com/butte.edu
California Institute of Integral Studies (CIIS),San Francisco,California (CA),https://www.ciis.edu/,ciis.edu,https://logo.clearbit.com/ciis.edu
Cabrillo College (CC),Aptos,California (CA),https://www.cabrillo.edu/,cabrillo.edu,https://logo.clearbit.com/cabrillo.edu
California Baptist University (CBU),Riverside,California (CA),https://www.calbaptist.edu/,calbaptist.edu,https://logo.clearbit.com/calbaptist.edu
California College of the Arts (CCTA),San Francisco,California (CA),https://www.cca.edu/,cca.edu,https://logo.clearbit.com/cca.edu
University of California College of the Law-San Francisco (UCCTLF),San Francisco,California (CA),https://www.uclawsf.edu/,uclawsf.edu,https://logo.clearbit.com/uclawsf.edu
California Institute of Technology (CIT),Pasadena,California (CA),https://www.caltech.edu/,caltech.edu,https://logo.clearbit.com/caltech.edu
California Lutheran University (CLU),Thousand Oaks,California (CA),https://www.callutheran.edu/,callutheran.edu,https://logo.clearbit.com/callutheran.edu
California Polytechnic State University-San Luis Obispo (CPSULO),San Luis Obispo,California (CA),https://calpoly.edu/,calpoly.edu,https://logo.clearbit.com/calpoly.edu
Alliant International University-San Diego (AIUD),San Diego,California (CA),https://www.alliant.edu/,alliant.edu,https://logo.clearbit.com/alliant.edu
California State University-Bakersfield (CSU),Bakersfield,California (CA),https://www.csub.edu/,csub.edu,https://logo.clearbit.com/csub.edu
California State University-Stanislaus (CSU),Turlock,California (CA),https://www.csustan.edu/,csustan.edu,https://logo.clearbit.com/csustan.edu
California State University-Chancellors Office (CSUO),Long Beach,California (CA),https://www.calstate.edu/,calstate.edu,https://logo.clearbit.com/calstate.edu
California State University-San Bernardino (CSUB),San Bernardino,California (CA),https://www.csusb.edu/,csusb.edu,https://logo.clearbit.com/csusb.edu
California State Polytechnic University-Pomona (CSPU),Pomona,California (CA),https://www.cpp.edu/,cpp.edu,https://logo.clearbit.com/cpp.edu
California State University-Chico (CSU),Chico,California (CA),https://www.csuchico.edu/,csuchico.edu,https://logo.clearbit.com/csuchico.edu
California State University-Dominguez Hills (CSUH),Carson,California (CA),https://www.csudh.edu/,csudh.edu,https://logo.clearbit.com/csudh.edu
California State University-Fresno (CSU),Fresno,California (CA),https://www.fresnostate.edu/,fresnostate.edu,https://logo.clearbit.com/fresnostate.edu
California State University-Fullerton (CSU),Fullerton,California (CA),https://www.fullerton.edu/,fullerton.edu,https://logo.clearbit.com/fullerton.edu
California State University-East Bay (CSUB),Hayward,California (CA),https://www.csueastbay.edu/,csueastbay.edu,https://logo.clearbit.com/csueastbay.edu
